class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
1,PPA,20.689655172413794,3.78,ArrowLakesParkFauquierSite,fragstats,2015
2,PPA,33.99014778325123,6.21,ArrowLakesParkFauquierSite,fragstats,2015
3,PPA,45.320197044334975,8.28,ArrowLakesParkFauquierSite,fragstats,2015
1,PPA,20.53231939163498,4.86,ArrowLakesParkShelterBaySite,fragstats,2015
2,PPA,41.82509505703422,9.9,ArrowLakesParkShelterBaySite,fragstats,2015
3,PPA,37.6425855513308,8.91,ArrowLakesParkShelterBaySite,fragstats,2015
1,PPA,62.758489572669575,3862.17,ArrowstonePark,fragstats,2015
2,PPA,35.17359384597385,2164.59,ArrowstonePark,fragstats,2015
3,PPA,2.0679165813565765,127.26,ArrowstonePark,fragstats,2015
1,PPA,98.0140935297886,275.4,ArtlishCavesPark,fragstats,2015
2,PPA,1.8898142216527867,5.31,ArtlishCavesPark,fragstats,2015
3,PPA,0.09609224855861627,0.27,ArtlishCavesPark,fragstats,2015
1,PPA,46.04819064207909,262674.72,Atlin,fragstats,2015
2,PPA,34.165467580496546,194891.58,Atlin,fragstats,2015
3,PPA,19.78634177742436,112868.1,Atlin,fragstats,2015
1,PPA,58.319438817935655,12308.58,AtnaRiverPark,fragstats,2015
2,PPA,31.8347156777041,6718.86,AtnaRiverPark,fragstats,2015
3,PPA,9.845845504360248,2078.01,AtnaRiverPark,fragstats,2015
1,PPA,88.69257950530036,158.13,BabineLakeMarineParkHookDeepBaySite,fragstats,2015
2,PPA,2.8268551236749118,5.04,BabineLakeMarineParkHookDeepBaySite,fragstats,2015
3,PPA,8.480565371024735,15.12,BabineLakeMarineParkHookDeepBaySite,fragstats,2015
1,PPA,59.7752808988764,23.94,BabineLakeMarineParkPendletonBaySite,fragstats,2015
2,PPA,14.382022471910112,5.76,BabineLakeMarineParkPendletonBaySite,fragstats,2015
3,PPA,25.84269662921348,10.35,BabineLakeMarineParkPendletonBaySite,fragstats,2015
1,PPA,84.63541666666667,29.25,BabineLakeMarineParkPierreCreekSite,fragstats,2015
3,PPA,15.364583333333334,5.31,BabineLakeMarineParkPierreCreekSite,fragstats,2015
1,PPA,67.97829036635007,45.09,BabineLakeMarineParkPinkutCreekSite,fragstats,2015
2,PPA,1.8995929443690638,1.26,BabineLakeMarineParkPinkutCreekSite,fragstats,2015
3,PPA,30.12211668928087,19.98,BabineLakeMarineParkPinkutCreekSite,fragstats,2015
1,PPA,77.24252491694352,41.85,BabineLakeMarineParkSandpointSite,fragstats,2015
2,PPA,2.3255813953488373,1.26,BabineLakeMarineParkSandpointSite,fragstats,2015
3,PPA,20.431893687707642,11.07,BabineLakeMarineParkSandpointSite,fragstats,2015
1,PPA,84.80543545398395,123.57,BabineLakeMarineParkSmithersLandingSite,fragstats,2015
2,PPA,0.9882643607164917,1.44,BabineLakeMarineParkSmithersLandingSite,fragstats,2015
3,PPA,14.206300185299568,20.7,BabineLakeMarineParkSmithersLandingSite,fragstats,2015
1,PPA,52.67732027751246,16578.09,BabineMountainsPark,fragstats,2015
2,PPA,41.16387076110021,12954.69,BabineMountainsPark,fragstats,2015
3,PPA,6.158808961387334,1938.24,BabineMountainsPark,fragstats,2015
1,PPA,64.45182724252491,17.46,BabineMountainsTrailsParkActSection,fragstats,2015
2,PPA,32.89036544850498,8.91,BabineMountainsTrailsParkActSection,fragstats,2015
3,PPA,2.6578073089700998,0.72,BabineMountainsTrailsParkActSection,fragstats,2015
1,PPA,91.33016348901485,14037.3,BabineRiverCorridorPark,fragstats,2015
2,PPA,5.781257319529677,888.57,BabineRiverCorridorPark,fragstats,2015
3,PPA,2.8885791914554737,443.97,BabineRiverCorridorPark,fragstats,2015
1,GPE,87.37541528239203,23.67,BambertonPark,fragstats,2015
1,PPA,96.25850340136054,25.47,BambertonPark,fragstats,2015
2,GPE,12.624584717607974,3.42,BambertonPark,fragstats,2015
2,PPA,3.741496598639456,0.99,BambertonPark,fragstats,2015
1,PPA,25.0,1.98,BananaIslandPark,fragstats,2015
2,PPA,17.045454545454547,1.35,BananaIslandPark,fragstats,2015
3,PPA,57.95454545454545,4.59,BananaIslandPark,fragstats,2015
1,PPA,73.88751955391108,11520.18,BanksNiiLuutiksmConservancy,fragstats,2015
2,PPA,23.023684043431327,3589.74,BanksNiiLuutiksmConservancy,fragstats,2015
3,PPA,3.0887964026576,481.59,BanksNiiLuutiksmConservancy,fragstats,2015
1,PPA,24.773242630385486,39.33,BearCreekPark,fragstats,2015
2,PPA,70.40816326530613,111.78,BearCreekPark,fragstats,2015
3,PPA,4.81859410430839,7.65,BearCreekPark,fragstats,2015
1,PPA,41.901881720430104,224.46,BearGlacierPark,fragstats,2015
2,PPA,23.68951612903226,126.9,BearGlacierPark,fragstats,2015
3,PPA,34.40860215053763,184.32,BearGlacierPark,fragstats,2015
1,PPA,88.35649426997011,11227.23,BearholeLakePark,fragstats,2015
2,PPA,9.461986315923674,1202.31,BearholeLakePark,fragstats,2015
3,PPA,2.1815194141062144,277.2,BearholeLakePark,fragstats,2015
1,PPA,93.743432652407,4737.24,BearholeLakeProtectedArea,fragstats,2015
2,PPA,5.969830273023562,301.68,BearholeLakeProtectedArea,fragstats,2015
3,PPA,0.28673707456944914,14.49,BearholeLakeProtectedArea,fragstats,2015
1,PPA,56.63918112027296,179.28,BearIslandConservancy,fragstats,2015
2,PPA,2.3315325561558145,7.38,BearIslandConservancy,fragstats,2015
3,PPA,41.02928632357123,129.87,BearIslandConservancy,fragstats,2015
1,PPA,86.33879781420765,284.4,BeattonPark,fragstats,2015
2,PPA,8.551912568306012,28.17,BeattonPark,fragstats,2015
3,PPA,5.109289617486339,16.83,BeattonPark,fragstats,2015
1,PPA,39.32376100046318,76.41,BeattonRiverPark,fragstats,2015
2,PPA,23.853635942566005,46.35,BeattonRiverPark,fragstats,2015
3,PPA,36.82260305697082,71.55,BeattonRiverPark,fragstats,2015
1,PPA,68.32740213523131,120.96,BeaumontPark,fragstats,2015
2,PPA,23.28418912048805,41.22,BeaumontPark,fragstats,2015
3,PPA,8.38840874428063,14.85,BeaumontPark,fragstats,2015
1,PPA,19.057377049180328,16.74,BeaverCreekPark,fragstats,2015
2,PPA,48.25819672131148,42.39,BeaverCreekPark,fragstats,2015
3,PPA,32.6844262295082,28.71,BeaverCreekPark,fragstats,2015
1,GPE,83.9572192513369,14.13,BeaverPointPark,fragstats,2015
1,PPA,93.95604395604396,15.39,BeaverPointPark,fragstats,2015
2,GPE,16.0427807486631,2.7,BeaverPointPark,fragstats,2015
2,PPA,6.043956043956044,0.99,BeaverPointPark,fragstats,2015
1,PPA,84.27901524032825,647.01,BeaverValleyPark,fragstats,2015
2,PPA,10.597889800703399,81.36,BeaverValleyPark,fragstats,2015
3,PPA,5.123094958968347,39.33,BeaverValleyPark,fragstats,2015
1,PPA,6.175595238095238,7.47,BecherSPrairiePark,fragstats,2015
2,PPA,79.46428571428571,96.12,BecherSPrairiePark,fragstats,2015
3,PPA,14.360119047619047,17.37,BecherSPrairiePark,fragstats,2015
1,PPA,66.78149606299213,122.13,BedardAspenPark,fragstats,2015
2,PPA,24.36023622047244,44.55,BedardAspenPark,fragstats,2015
3,PPA,8.858267716535433,16.2,BedardAspenPark,fragstats,2015
1,PPA,85.18280949326491,119.52,BednestiLakeEcologicalReserve,fragstats,2015
2,PPA,8.723540731237973,12.24,BednestiLakeEcologicalReserve,fragstats,2015
3,PPA,6.093649775497114,8.55,BednestiLakeEcologicalReserve,fragstats,2015
1,PPA,4.239766081871345,7.83,BellaCoolaEstuaryConservancy,fragstats,2015
2,PPA,93.37231968810916,172.44,BellaCoolaEstuaryConservancy,fragstats,2015
3,PPA,2.387914230019493,4.41,BellaCoolaEstuaryConservancy,fragstats,2015
1,PPA,35.294117647058826,1.08,BellhousePark,fragstats,2015
2,PPA,55.88235294117647,1.71,BellhousePark,fragstats,2015
3,PPA,8.823529411764707,0.27,BellhousePark,fragstats,2015
1,PPA,65.5493026669929,241.11,BigBarLakePark,fragstats,2015
2,PPA,23.097626620993395,84.96,BigBarLakePark,fragstats,2015
3,PPA,11.353070712013702,41.76,BigBarLakePark,fragstats,2015
1,PPA,56.40263134180409,563.31,BigBasinPark,fragstats,2015
2,PPA,39.389024060556906,393.39,BigBasinPark,fragstats,2015
3,PPA,4.208344597639002,42.03,BigBasinPark,fragstats,2015
1,PPA,91.80161943319838,244.89,BigBunsbyMarinePark,fragstats,2015
2,PPA,5.870445344129554,15.66,BigBunsbyMarinePark,fragstats,2015
3,PPA,2.327935222672065,6.21,BigBunsbyMarinePark,fragstats,2015
1,PPA,23.498603351955307,60.57,BigCreekEcologicalReserve,fragstats,2015
2,PPA,75.76815642458101,195.3,BigCreekEcologicalReserve,fragstats,2015
3,PPA,0.7332402234636871,1.89,BigCreekEcologicalReserve,fragstats,2015
1,PPA,61.96086375667155,42116.85,BigCreekPark,fragstats,2015
2,PPA,25.50595226273371,17337.24,BigCreekPark,fragstats,2015
3,PPA,12.533183980594737,8519.22,BigCreekPark,fragstats,2015
1,PPA,78.03593264979776,746.64,BigWhiteMountainEcologicalReserve,fragstats,2015
2,PPA,18.257924936506445,174.69,BigWhiteMountainEcologicalReserve,fragstats,2015
3,PPA,3.7061424136957952,35.46,BigWhiteMountainEcologicalReserve,fragstats,2015
1,GPE,39.042821158690174,13.95,BijouxFallsPark,fragstats,2015
1,PPA,45.5919395465995,16.29,BijouxFallsPark,fragstats,2015
2,GPE,60.957178841309826,21.78,BijouxFallsPark,fragstats,2015
2,PPA,54.4080604534005,19.44,BijouxFallsPark,fragstats,2015
1,PPA,46.20936762501938,4828.5,BirkenheadLakePark,fragstats,2015
2,PPA,35.462782725534446,3705.57,BirkenheadLakePark,fragstats,2015
3,PPA,18.327849649446176,1915.11,BirkenheadLakePark,fragstats,2015
1,PPA,92.05205522932867,2610.09,BishopBayMonkeyBeachConservancy,fragstats,2015
2,PPA,7.214727820980797,204.57,BishopBayMonkeyBeachConservancy,fragstats,2015
3,PPA,0.7332169496905253,20.79,BishopBayMonkeyBeachConservancy,fragstats,2015
1,PPA,97.87234042553192,4.14,BishopBayMonkeyBeachCorridorConservancy,fragstats,2015
3,PPA,2.127659574468085,0.09,BishopBayMonkeyBeachCorridorConservancy,fragstats,2015
1,PPA,2.1164021164021163,4.68,BlackcombGlacierPark,fragstats,2015
2,PPA,42.04314204314204,92.97,BlackcombGlacierPark,fragstats,2015
3,PPA,55.84045584045584,123.48,BlackcombGlacierPark,fragstats,2015
1,PPA,71.36251541307028,208.35,BlackwaterCreekEcologicalReserve,fragstats,2015
2,PPA,28.606658446362516,83.52,BlackwaterCreekEcologicalReserve,fragstats,2015
3,PPA,0.030826140567200986,0.09,BlackwaterCreekEcologicalReserve,fragstats,2015
1,PPA,47.83347493627868,152.01,BlanketCreekPark,fragstats,2015
2,PPA,19.65448881336732,62.46,BlanketCreekPark,fragstats,2015
3,PPA,32.51203625035401,103.32,BlanketCreekPark,fragstats,2015
1,PPA,61.39582556839359,593.01,BlueDeaseRiversEcologicalReserve,fragstats,2015
2,PPA,31.66231830040999,305.82,BlueDeaseRiversEcologicalReserve,fragstats,2015
3,PPA,6.941856131196422,67.05,BlueDeaseRiversEcologicalReserve,fragstats,2015
1,PPA,82.19088653871263,566.55,BlueEarthLakePark,fragstats,2015
2,PPA,15.615615615615615,107.64,BlueEarthLakePark,fragstats,2015
3,PPA,2.1934978456717587,15.12,BlueEarthLakePark,fragstats,2015
1,PPA,73.42365815528922,126.81,BlueRiverBlackSprucePark,fragstats,2015
2,PPA,12.089630015633142,20.88,BlueRiverBlackSprucePark,fragstats,2015
3,PPA,14.486711829077645,25.02,BlueRiverBlackSprucePark,fragstats,2015
1,GPE,81.64556962025317,23.22,BlueRiverPinePark,fragstats,2015
1,PPA,84.36482084690553,23.31,BlueRiverPinePark,fragstats,2015
2,GPE,18.354430379746834,5.22,BlueRiverPinePark,fragstats,2015
2,PPA,15.635179153094462,4.32,BlueRiverPinePark,fragstats,2015
1,PPA,83.04782062305708,1130.04,BobtailMountainPark,fragstats,2015
2,PPA,16.95217937694292,230.67,BobtailMountainPark,fragstats,2015
1,PPA,71.9468051621026,822.87,BocockPeakPark,fragstats,2015
