class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
2,PPA,0.0,0.0,BrackendaleEaglesPark,nightlights,2015
1,PPA,100.0,416.43,BrandywineFallsPark,nightlights,2015
1,PPA,100.0,4349.79,BrentMountainProtectedArea,nightlights,2015
1,PPA,100.0,34.29,BridalVeilFallsPark,nightlights,2015
1,PPA,100.0,422.1,BridgeLakePark,nightlights,2015
1,PPA,100.0,991.35,BridgeRiverDeltaPark,nightlights,2015
1,PPA,100.0,189.27,BrimRiverHotspringsProtectedArea,nightlights,2015
1,PPA,100.0,149.49,BromleyRockPark,nightlights,2015
1,PPA,100.0,3436.11,BroughtonArchipelagoConservancy,nightlights,2015
1,PPA,100.0,113.58,BrowneLakeEcologicalReserve,nightlights,2015
1,PPA,100.0,43.11,BrowneLakePark,nightlights,2015
1,PPA,100.0,0.27,BuccaneerBayPark,nightlights,2015
1,PPA,100.0,16.2,BuckHillsRoadEcologicalReserve,nightlights,2015
1,GPE,89.77556109725685,32.4,BuckinghorseRiverWaysidePark,nightlights,2015
1,PPA,97.4937343358396,35.01,BuckinghorseRiverWaysidePark,nightlights,2015
2,GPE,10.224438902743142,3.69,BuckinghorseRiverWaysidePark,nightlights,2015
2,PPA,2.506265664160401,0.9,BuckinghorseRiverWaysidePark,nightlights,2015
1,PPA,100.0,13817.79,BugabooPark,nightlights,2015
1,PPA,100.0,169.29,BulkleyJunctionPark,nightlights,2015
1,PPA,100.0,344.43,BullCanyonPark,nightlights,2015
1,PPA,100.0,401.22,BurgesJamesGadsdenPark,nightlights,2015
1,PPA,100.0,485.19,BurgoyneBayPark,nightlights,2015
1,PPA,100.0,2345.94,BurnieRiverProtectedArea,nightlights,2015
1,PPA,100.0,34555.32,BurnieSheaPark,nightlights,2015
1,PPA,100.0,66.51,BurnsLakePark,nightlights,2015
1,PPA,100.0,672.66,BurntCabinBogEcologicalReserve,nightlights,2015
1,PPA,100.0,228.24,BuseLakeProtectedArea,nightlights,2015
1,PPA,100.0,6844.59,ButlerRidgePark,nightlights,2015
1,PPA,100.0,150.39,CaligataLakePark,nightlights,2015
1,PPA,100.0,8086.68,CallaghanConservancy,nightlights,2015
1,PPA,100.0,2696.04,CallaghanLakePark,nightlights,2015
1,PPA,100.0,61.65,CallLakePark,nightlights,2015
1,PPA,100.0,104.4,CampbellBrownKalamalkaLakeEcologicalReserve,nightlights,2015
1,PPA,100.0,8.1,CanimBeachPark,nightlights,2015
1,PPA,100.0,16366.77,CapeScottPark,nightlights,2015
1,PPA,100.0,72.36,CardiffMountainEcologicalReserve,nightlights,2015
1,PPA,100.0,87.48,CaribooNaturePark,nightlights,2015
1,PPA,100.0,3145.14,CaribooRiverPark,nightlights,2015
1,PPA,100.0,16366.5,CarmanahWalbranPark,nightlights,2015
1,PPA,100.0,38219.31,CarpLakePark,nightlights,2015
1,PPA,100.0,293.94,CarterBayConservancy,nightlights,2015
1,PPA,100.0,15.75,CastleRockHoodoosPark,nightlights,2015
1,PPA,100.0,44.37,CatherineCreekEcologicalReserve,nightlights,2015
1,PPA,100.0,7246.8,CattoCreekConservancy,nightlights,2015
1,PPA,100.0,129.6,CecilLakeEcologicalReserve,nightlights,2015
1,PPA,100.0,7.92,CedarPointPark,nightlights,2015
1,PPA,100.0,212.76,CetanThurstonBayConservancy,nightlights,2015
1,PPA,100.0,1452.87,ChampionLakesPark,nightlights,2015
1,PPA,100.0,198.99,CharlieColeCreekEcologicalReserve,nightlights,2015
1,PPA,89.17262512768131,157.14,CharlieLakePark,nightlights,2015
2,PPA,10.827374872318693,19.08,CharlieLakePark,nightlights,2015
1,PPA,100.0,36195.12,ChasePark,nightlights,2015
1,PPA,100.0,196.92,ChasmEcologicalReserve,nightlights,2015
1,GPE,96.0483847518246,2972.88,ChasmPark,nightlights,2015
1,PPA,99.98570611778159,3147.75,ChasmPark,nightlights,2015
2,GPE,2.9397226018435054,90.99,ChasmPark,nightlights,2015
2,PPA,0.01429388221841052,0.45,ChasmPark,nightlights,2015
3,GPE,0.8519670844116193,26.37,ChasmPark,nightlights,2015
3,PPA,0.0,0.0,ChasmPark,nightlights,2015
4,GPE,0.15992556192026983,4.95,ChasmPark,nightlights,2015
4,PPA,0.0,0.0,ChasmPark,nightlights,2015
1,PPA,100.0,234.63,CheclesetBayEcologicalReserve,nightlights,2015
1,PPA,100.0,118.8,ChemainusRiverPark,nightlights,2015
1,PPA,100.0,497.07,ChickensNeckMountainEcologicalReserve,nightlights,2015
1,PPA,100.0,66.06,ChilakoRiverEcologicalReserve,nightlights,2015
1,PPA,100.0,24.84,ChilliwackRiverPark,nightlights,2015
1,PPA,100.0,52.74,ChoquetteHotSpringsPark,nightlights,2015
1,PPA,100.0,5.58,ChristinaLakePark,nightlights,2015
1,PPA,100.0,107.37,ChuChuaCottonwoodPark,nightlights,2015
1,PPA,100.0,343.8,ChunamonCreekEcologicalReserve,nightlights,2015
1,PPA,100.0,37097.28,ChurnCreekProtectedArea,nightlights,2015
1,PPA,100.0,71.91,CinemaBogEcologicalReserve,nightlights,2015
1,PPA,100.0,579.33,CinnemousunNarrowsPark,nightlights,2015
