class_val,ppa_gpe,proportion_of_landscape,total_area,park,var,year
1,PPA,100.0,479625.93,RM,nightlights,2015
1,GPE,99.98607745960047,1582249.5,Spats,nightlights,2015
1,PPA,100.0,1524913.02,Spats,nightlights,2015
2,GPE,0.013922540399538236,220.32,Spats,nightlights,2015
2,PPA,0.0,0.0,Spats,nightlights,2015
1,GPE,99.98521015456768,1566113.31,Tweeds,nightlights,2015
1,PPA,100.0,2034693.45,Tweeds,nightlights,2015
2,GPE,0.014789845432325166,231.66,Tweeds,nightlights,2015
2,PPA,0.0,0.0,Tweeds,nightlights,2015
